"","Event description","LocationLon","LocationLat","Severest event","Job satisfaction","Age","t1copeaccept","t1copeact","t1copeblame","t1copedenial","t1copediseng","t1copedistr","t1copeemosup","t1copehumor","t1copeinssup","t1copeplan","t1coperefram","t1copevent","Event disruptiveness","Education level","t1emotions","t1found","t1gender","t1jobsa","t1jobstr","t1lang","t1location","t1meansev","Event novelty","t1occ","Co-ownership","Event performance impact","t1preocc","Problem solved","Industry","t1threat","Business age","t1wofa","t2copeaccept","t2copeact","t2copeblame","t2copedenial","t2copediseng","t2copedistr","t2copeemosup","t2copehumor","t2copeinssup","t2copeplan","t2coperefram","t2copevent","t2disrup","t2emotionslast","t2evcat","t2jobsa","t2jobstr","t2novel","t2perfo","t2profskill","t2threat","t2threatlast","t2wofa","t3copeaccept","t3copeact","t3copeblame","t3copedenial","t3copediseng","t3copedistr","t3copeemosup","t3copehumor","t3copeinssup","t3copeplan","t3coperefram","t3copevent","t3disrup","t3emotionslast","t3evcat","t3jobsa","t3jobstr","t3novel","t3perfo","t3threat","t3threatlast","t3wofa","ID_code","Average event severity","Job strain"
"1","Rent of incubation space not reduced for non use during pandemic",93.7273864746094,25.9169006347656,1,4,34,3.5,3.5,1.5,1,1,2.5,4,2,4,4,3.5,1.5,5,4,2.53333333333333,1,1,0.508052863742162,1.66666666666667,3,2,2.66666666666667,1,3,2,2,NA,2,6,1.33333333333333,-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11111111111111,NA,0.852233548012638,1.83333333333333,NA,NA,2.85714285714286,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808452276276812,2.83333333333333,NA,NA,NA,NA,NA,1001,3,2
"2","unable to find suitable financial support to run business... as the business will generate revenues may be in 6months time 
",72.8856048583984,19.0747985839844,1,3,47,2.5,4,1,1,1,1,4,1,4,4,4,3,5,4,1.6,1,1,0.282596355422602,1,3,2,5,5,1,2,5,NA,1,1,5,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,5,1
"3","Partnership proposal with a party",77.4028930664062,23.2546997070312,8,5,24,3,3.5,1,1.5,3.5,1,3,1,1.5,4,4,1,5,4,1,1,1,0.945624994938901,1.16666666666667,3,2,4,3,1,2,4,NA,3,3,2.33333333333333,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11111111111111,NA,0.295383367677197,1.16666666666667,NA,NA,NA,3,NA,1003,4,1
"4","many mistakes done especially in Operation",77.4028930664062,23.2546997070312,7,5,34,4,4,1,3,1,1,3,1,3,4,4,1,5,4,1,1,1,0.761735328934616,1.5,1,2,4.08333333333333,4,2,1,5,NA,4,6,4.66666666666667,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004,4,2
"5","Web developer cheated me a i don’t have enough technical knowledge",77.3132019042969,28.4111938476562,5,4,20,2,4,3,1,1,3,3.5,1.5,4,3.5,1,2.5,5,4,3.93333333333333,1,1,-0.395462858968046,1.83333333333333,3,2,5.16666666666667,6,3,1,5,NA,4,3,4.33333333333333,-212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555555555556,NA,-0.0593183433219137,3.5,NA,NA,2.625,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005,5,2
"6","clients are not paying on time",73.8553924560547,18.5196075439453,2,5,36,4,3,2,2,3,3,2.5,3,3.5,3.5,3.5,2.5,4,4,3,1,1,-0.247189921684125,1.16666666666667,3,2,4.16666666666667,5,1,2,4,NA,4,6,3.33333333333333,1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,4,1
"7","Firstly, appointing the right person for a particular job. I appointed a designer for my logo designing and liked her work too and paid her but exactly 3 days later found someone with whom I wished I could have asked him to design the logo for my company. Maybe his skills and talent would get me a unique one but to manage everything in the budget is a task for my startup. Can't explore options as I want to but yes with time I shall. 
Same is with other jobs as well..but this doesn't stop my work but just more explorations and contacts could have make few works of mine exceptional.",73.8553924560547,18.5196075439453,1,5,22,3.5,4,1.5,1,1,1,1,1.5,2.5,4,3.5,1.5,2,4,1.73333333333333,1,2,0.156309666780377,1.5,1,2,3,3,3,1,4,NA,3,5,1,-242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55555555555556,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,1007,3,2
"8","Running Out of Working capital due to less revenue.",75.8538055419922,30.9120025634766,1,5,23,2.5,4,2.5,1.5,1,1,1.5,1,1.5,4,4,3,5,4,2.33333333333333,1,1,0.572694054036718,1.5,1,2,3,1,1,2,5,NA,3,5,3,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,2.5,4,2,1,2.5,1,1.5,1,2,4,4,1,5,2.66666666666667,1,0.878942591814168,1.66666666666667,2,5,2.66666666666667,3.66666666666667,NA,1008,3,2
"9","small team",75.8307037353516,22.7165069580078,5,5,28,2,3,2,1,1,2,1,1,2.5,3,3,1,4,4,2,1,2,0.687713235018139,1.66666666666667,3,2,4.33333333333333,5,1,2,4,NA,2,1,3.33333333333333,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,4,2
"10","Our primary production machine suffered a break down due to unforeseen circumstances. The replacement part had to be shipped from the manufacturer (spare part was not handy and cannot be bought locally) affecting loss of time and decrease in productivity.",77.2315063476562,28.6519012451172,8,5,25,2,4,1,1,1,2.5,2,1,2.5,2,3.5,1,5,4,1.46666666666667,1,1,0.699074129550292,1.33333333333333,3,2,3.33333333333333,1,3,2,4,NA,5,7,3.33333333333333,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77777777777778,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88888888888889,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,1010,3,1
"11","The machine to make the product is too expensive.",72.8856048583984,19.0747985839844,1,3,26,2,4,1,1,1,3,2.5,1.5,4,4,3,1.5,5,4,1.66666666666667,1,2,-0.170565965034596,1.66666666666667,3,2,3.16666666666667,2,2,2,4,NA,3,6,3,-334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77777777777778,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,3,2
"12","Managing Cash Flow",78.4563903808594,17.3840942382812,1,5,44,3.5,4,1,2.5,1,3.5,4,4,4,4,4,2.5,4,4,2.46666666666667,1,2,1.0716525115375,1.5,1,2,4.22222222222222,5,1,2,5,NA,4,7,4.66666666666667,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44444444444444,NA,1.04546862928155,1.33333333333333,NA,NA,2.875,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908638285359993,1.33333333333333,NA,NA,NA,NA,NA,1012,4,2
"13","We are unable to raise money to promote our product in the market.",78.4563903808594,17.3840942382812,1,5,36,4,4,1.5,1,1,2,3,1.5,2,3.5,4,1,5,4,2.4,1,1,0.440809810714555,1.5,3,2,5,5,1,2,5,NA,2,1,2,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,5,2
"14","We had ordered our Unit to the client to fabricate before the lockdown of COVID-19 in the month of March he had completed 90% work. In the month of July Govt has unlocked the lockdown so we had approached to the vendor to complete the remaining work, as we had paid all payment in the month of March so he was trying to avoid us to delay work as he was busy in his new deals.",73.8553924560547,18.5196075439453,3,5,30,3,2,3,1.5,1,2.5,2,1,2,4,4,1.5,4,4,1.6,1,1,0.0921245631363645,1.83333333333333,3,2,3.33333333333333,3,2,1,3,NA,4,5,2.66666666666667,-365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,3,2
"15","Lack of funds to run operations regularly, paying salaries & office rent",80.923095703125,26.8392944335938,1,4,31,4,4,2,1,1.5,1.5,2,1,2.5,4,4,1.5,5,4,2.73333333333333,1,1,-0.739576393767173,2,3,2,4.66666666666667,4,1,2,5,NA,1,1,4.66666666666667,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,5,2
"16","Problems regarding the procurement of raw material, the Latex of euphorbia royleana plants, which was hazardous to extract.",77.7063903808594,28.9799957275391,6,4,22,2.5,3,1,1,1,2,1.5,2,2,3,4,1.5,2,4,NA,1,2,0.333533960495579,2,3,2,2.66666666666667,4,3,2,2,NA,5,5,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55555555555556,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77777777777778,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,1016,3,2
"17","DUe to COVID, there is a rate increase of almost all raw material and logistic cost.",77.2315063476562,28.6519012451172,6,5,39,3,4,1,2.5,2,3,2.5,1,3,4,3.5,3.5,5,4,1.86666666666667,1,1,-0.242857099220249,3,3,2,3.66666666666667,1,1,1,5,NA,2,7,4.33333333333333,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017,4,3
"18","Health related matters of personal and family.",77.0281982421875,28.4597015380859,8,5,43,3,3,2,1,1,3,4,4,4,2.5,4,1.5,4,4,2.4,1,2,0.971860820037343,2,3,2,3.91666666666667,4,5,2,5,NA,4,1,1,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018,4,2
"19","The client had internal communication issues and asked us to provide more material than agreed upon.",78.4563903808594,17.3840942382812,6,5,29,2.5,2,1,1,1,1.5,2,1,1.5,2.5,2.5,1,2,4,1.13333333333333,1,1,1.09004147813793,1,1,2,1.33333333333333,1,1,2,1,NA,5,1,1,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44444444444444,NA,1.09124946043526,1,NA,NA,3,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,1,1
"20","Final investment meeting",77.2315063476562,28.6519012451172,1,4,25,3,3.5,1,3,1,3,3,3.5,3,3.5,3,3,2,4,2.13333333333333,1,1,-1.27566534338379,1.66666666666667,3,2,3,3,1,2,4,NA,3,1,1,489,NA,2,3.5,1,1,1,3,3,3,3,3,2,3,5,2.44444444444444,1,-1.07683719215074,3,6,5,3,2.66666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,3,2
"21","My appraisals were out and I have got a bad rating instead of my efforts trying a new skill altogether for the company",77.3299865722656,28.5800018310547,8,5,32,4,1,1,1,2,3,2,1,1,1,1,2.5,3,4,2.46666666666667,1,1,0.238531178109842,1.33333333333333,3,2,2,1,2,2,2,NA,1,4,2,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11111111111111,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021,2,1
"22","Not having a tech team, currently we are working with a single tech personnel",73.8553924560547,18.5196075439453,5,4,34,2,3.5,1.5,1,1,1,3,1,4,3,4,1.5,5,4,1.53333333333333,1,1,-0.0766411411222231,1.83333333333333,3,2,3.33333333333333,1,1,2,4,NA,3,2,2.33333333333333,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,3,2
"23","I have designed a PCB using EASYEDA cloud for product prototyping, and the delivery is still pending, as shipping from china have certain issues from JLCPCB so prototype release is delayed now",76.2904052734375,9.96710205078125,6,5,49,4,4,1,2,1,3,3,1,4,4,4,2,1,4,1.26666666666667,1,1,0.612986023271713,1.33333333333333,3,2,1.66666666666667,1,1,2,3,NA,5,1,1,-273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024,2,1
"24","There was some misunderstanding between co-founders but it has been solved through exchange of dialogue.",88.3630065917969,22.5626068115234,2,5,31,2.5,3.5,2.5,1,1,2,3,1.5,2.5,2.5,3,1,4,4,2.6,2,1,0.595415843101022,1.33333333333333,3,2,3,2,1,2,3,NA,5,6,3,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025,3,1
"25","Due to lack of proper guidance and support we face difficulty in dealing with clients and making strategy to grow our business.",77.2197875976562,28.6327056884766,5,5,25,3.5,3.5,1,1,3.5,1,3,1,3,4,3,1,5,4,2.33333333333333,1,2,0.78516223582887,1.5,3,2,3.83333333333333,4,1,2,4,NA,4,3,2.33333333333333,-334,NA,3.5,3,2.5,2.5,1,1,2.5,1,3,4,3,2,4,1.77777777777778,1,0.276289167744961,1.66666666666667,4,4,3.875,3.33333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,-0.051029717501977,1.33333333333333,NA,NA,NA,4,NA,1026,4,2
"26","Issues on difference of opinion on product development among the founders",80.2785034179688,13.0877990722656,2,4,28,2.5,3,1,1,1,2,2,1,3,2,3,2,3,5,2.33333333333333,1,1,-0.598673946602284,1.66666666666667,1,2,3.66666666666667,4,3,2,4,NA,4,6,3.66666666666667,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027,4,2
"27","Material selection is undergoing some serious audits and we were caught unawares on the material gaps and are currently fixing the issue - hands-on",72.8856048583984,19.0747985839844,6,4,47,2.5,4,1,1,1,1.5,2,1,2,3.5,3.5,1,4,4,1.46666666666667,1,1,-0.159920329196614,1.33333333333333,1,2,3,1,1,2,4,NA,4,6,1,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,NA,-0.000623006281730389,1.33333333333333,NA,NA,3,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028,3,1
"28","As we have been operating a niche market with limited players over a period of 12 years. the customer understanding of technology and its pricing has been bleak , but trust has kept the business going. The business kept on improving as the customers provided us with more penetration with our technology products into their ecosystem. But, over a period of 12 years the market size of the education services that our customers provide shrunk at least 50 percent. All kinds of trust not only with us but every other vendor , department heads and employees started wavering. As the revenues shrunk 50 percent, but the customers agenda kept on to squeeze the same services at the lower costs as their perspective being of being overcharged. And also being to regain market share they need the same quality of services. But for us it has not been possible to provide the same services at lower costs. We kept on holding for past 4 years as we were getting a volume of business. But slowly the costs kept on taking a toll and we have understood that if we gave same quality of services double cost was required as we have already dented and squeezed our startup to unbearable extent in 4 years . Hence we started pushing for cost hikes, which our customers took all measures to pull down. At the end all our relationships have broken and we need to search for new market arenas for our superior products .",80.923095703125,26.8392944335938,2,5,33,4,4,1,1,1,3,4,2,1,4,4,1.5,5,4,1,1,1,-0.987547635679902,1,3,2,2.66666666666667,1,1,2,2,NA,1,1,2.33333333333333,3653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030,3,1
"29","Currently we are working on our app and web development and we contacted many vendor and one  vendor has agreed but end time they increase their charges which we couldn't pay and we have to again start the process of identifying vendors",85.1347961425781,25.5908050537109,8,5,44,2,4,1.5,1.5,1,2.5,1.5,1,3,3,3.5,2,5,4,1.66666666666667,1,1,0.228694187837378,1.5,3,2,3.66666666666667,1,1,1,5,NA,5,3,4,-181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,NA,0.053676930820508,1.66666666666667,NA,NA,3.375,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,4,2
"30","Our head of sales and procurement met with an accident and is indisposed. This happened when my husband was in hospital while down with COVID 19. I was already preoccupied with that and his accident created a void in the team and this happened while procurement season is about to start. However, we have built certain redundancy and junior members of the team could shoulder the responsibility.",77.0281982421875,28.4597015380859,7,5,44,4,4,1,1,1,1.5,4,1.5,4,3,3.5,1,3,6,1,1,2,1.01999964777035,1,3,2,2.66666666666667,1,4,1,4,NA,5,6,1.66666666666667,974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,NA,0.748833442667191,1.33333333333333,NA,NA,3,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032,3,1
"31","I was at the store front & customers came with a bad mood. I was polite with her & greet her as i usually do but she act with me rudely & speak with me in bad words.",72.1533050537109,21.7628936767578,2,5,29,2.5,2,1,1,2.5,2.5,1.5,2,2,3.5,3.5,2.5,1,4,2.06666666666667,1,2,0.595768402015997,1.33333333333333,3,2,1.66666666666667,1,1,2,3,NA,4,4,1.33333333333333,762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1033,2,1
"32","COVID crises",77.2315063476562,28.6519012451172,8,3,27,3.5,2,1,1,3,3.5,3,3.5,3,2,3,1.5,2,4,1.33333333333333,2,1,0.00161024752256123,1,3,2,2.33333333333333,1,3,1,4,NA,2,3,3.66666666666667,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034,2,1
"33","I'm looking for funds",77.2197875976562,28.6327056884766,1,4,65,4,4,1,NA,1,3.5,3.5,1,2,4,4,1,5,4,2.93333333333333,1,1,0.174242546730262,2,1,2,4.66666666666667,4,1,1,5,NA,1,3,2.66666666666667,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,5,2
"34","We have completed the product design and done the testing phase and we have got the result of the test. it has been very difficult to get the corrected product for more testing and launching.",77.4336853027344,28.6676940917969,1,5,23,3.5,4,3.5,1,1,1.5,4,1,4,4,4,2,5,4,1.73333333333333,1,1,0.612986023271713,2.33333333333333,3,2,4.66666666666667,4,1,2,5,NA,3,1,5,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,0.203735129986428,2.33333333333333,NA,NA,NA,4.33333333333333,NA,1036,5,2
"35","As we provide 1 on 1 live online tuitions on our platform, One of our client faced some kind of problem with the faculty allotted to their child.",77.4028930664062,23.2546997070312,6,4,22,3,4,2,1,1,3,3,1,3,3,3.5,2,5,4,2.33333333333333,1,1,0.418450721429446,1.66666666666667,1,2,3.33333333333333,1,1,1,4,NA,5,3,3,-153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88888888888889,NA,0.730778142192583,1.5,NA,NA,3,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037,3,2
"36","Due to critical timelines we are facing difficulties in getting product delivered on time, due to which internal conflicts are occurring",77.3299865722656,28.5800018310547,2,5,27,2.5,3,3.5,1,3,2,2,1.5,2.5,3.5,2.5,2,4,4,2.66666666666667,1,1,-1.17190352919895,2.5,3,2,4,4,1,2,5,NA,5,1,2,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11111111111111,NA,-0.783809123689871,2.66666666666667,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,4,2
